@RELATION te_cnn_aae_embeddings

@ATTRIBUTE z0 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE z10 NUMERIC
@ATTRIBUTE z11 NUMERIC
@ATTRIBUTE z12 NUMERIC
@ATTRIBUTE z13 NUMERIC
@ATTRIBUTE z14 NUMERIC
@ATTRIBUTE z15 NUMERIC
@ATTRIBUTE z16 NUMERIC
@ATTRIBUTE z17 NUMERIC
@ATTRIBUTE z18 NUMERIC
@ATTRIBUTE z19 NUMERIC
@ATTRIBUTE z20 NUMERIC
@ATTRIBUTE z21 NUMERIC
@ATTRIBUTE z22 NUMERIC
@ATTRIBUTE z23 NUMERIC
@ATTRIBUTE z24 NUMERIC
@ATTRIBUTE z25 NUMERIC
@ATTRIBUTE z26 NUMERIC
@ATTRIBUTE z27 NUMERIC
@ATTRIBUTE z28 NUMERIC
@ATTRIBUTE z29 NUMERIC
@ATTRIBUTE z30 NUMERIC
@ATTRIBUTE z31 NUMERIC
@ATTRIBUTE z32 NUMERIC
@ATTRIBUTE z33 NUMERIC
@ATTRIBUTE z34 NUMERIC
@ATTRIBUTE z35 NUMERIC
@ATTRIBUTE z36 NUMERIC
@ATTRIBUTE z37 NUMERIC
@ATTRIBUTE z38 NUMERIC
@ATTRIBUTE z39 NUMERIC
@ATTRIBUTE z40 NUMERIC
@ATTRIBUTE z41 NUMERIC
@ATTRIBUTE z42 NUMERIC
@ATTRIBUTE z43 NUMERIC
@ATTRIBUTE z44 NUMERIC
@ATTRIBUTE z45 NUMERIC
@ATTRIBUTE z46 NUMERIC
@ATTRIBUTE z47 NUMERIC
@ATTRIBUTE z48 NUMERIC
@ATTRIBUTE z49 NUMERIC
@ATTRIBUTE z50 NUMERIC
@ATTRIBUTE z51 NUMERIC
@ATTRIBUTE z52 NUMERIC
@ATTRIBUTE z53 NUMERIC
@ATTRIBUTE z54 NUMERIC
@ATTRIBUTE z55 NUMERIC
@ATTRIBUTE z56 NUMERIC
@ATTRIBUTE z57 NUMERIC
@ATTRIBUTE z58 NUMERIC
@ATTRIBUTE z59 NUMERIC
@ATTRIBUTE z60 NUMERIC
@ATTRIBUTE z61 NUMERIC
@ATTRIBUTE z62 NUMERIC
@ATTRIBUTE z63 NUMERIC

@DATA
0.196772,-0.536685,-0.320352,-0.025970,-0.308126,-0.177903,0.164134,0.451589,-0.428008,-0.051158,0.966828,0.201561,0.066833,0.862401,-0.234168,0.064610,-0.827316,-0.008530,0.173645,0.190372,-1.356122,0.852414,-0.000733,-0.029724,-0.133954,0.430050,0.880160,1.176632,-0.074066,-1.183117,-0.921455,-0.120915,1.109492,-0.055745,-0.181721,-0.177718,0.150643,-0.223558,0.468024,0.216106,0.190383,0.359837,0.486369,0.066529,0.035166,-1.065399,1.136904,-0.625063,-0.552191,1.106112,0.860316,-0.479301,0.029351,1.130044,0.408577,0.053297,1.315988,-0.241222,-0.226238,0.231807,-0.608554,-0.445562,-0.206025,0.123415
-0.011731,-0.550479,-0.710707,0.492518,-0.040128,0.386587,-0.044567,0.610536,-0.088496,0.182867,0.903739,0.076282,0.064203,0.842574,-0.473596,0.183915,-0.762792,-0.007661,0.193573,-0.038908,-1.213217,0.907980,0.117045,-0.152750,0.316416,0.613749,0.950611,0.786033,0.491333,-1.068305,-0.841651,-0.304444,0.943585,0.002875,0.055751,-0.016718,0.029855,0.169637,0.446074,-0.220795,-0.233118,0.469385,0.266645,0.009165,-0.342389,-0.923759,1.120981,-0.605374,-0.826117,0.959121,0.806048,-0.524685,0.151781,1.076456,0.099099,-0.157563,0.821933,0.005200,-0.053406,0.384569,-0.545133,-0.454438,-0.131896,-0.020564
0.185322,-0.320907,-0.414700,-0.235679,-0.081483,-0.267336,0.197545,0.611997,-0.203912,0.014896,0.846046,0.158383,0.518211,1.072345,-0.238016,-0.060136,-0.981270,-0.218675,0.304111,0.317224,-1.399807,0.913183,-0.005725,0.138149,-0.033920,0.688669,0.876899,1.141388,-0.165782,-1.090893,-1.001520,0.188419,1.094420,-0.231379,-0.222593,-0.193932,0.368350,-0.203308,0.485420,0.204895,0.126015,0.497078,0.463136,0.068769,0.083690,-1.123852,1.326942,-0.378187,-0.779633,1.141670,0.773957,-0.817722,-0.034880,1.210040,0.206258,0.038897,1.209832,-0.331379,-0.181626,0.135111,-0.508218,-0.353782,0.005799,0.076508
-0.212261,0.617761,0.128190,0.276943,0.925115,0.360210,-0.284802,-0.558467,1.548048,0.631780,-0.599560,-0.651157,-0.516988,-0.674463,0.487272,-0.558268,0.690360,0.476320,-0.226547,-0.460225,0.442833,-0.574482,-0.322441,-1.010181,0.187766,-0.562792,-0.543385,-0.833335,0.806751,0.674554,0.580685,-0.717370,-0.607324,0.918842,1.635921,1.230441,-1.459931,0.819228,-0.336518,-0.888358,-0.835896,-0.295287,-0.806140,-0.656995,0.059890,1.110835,-0.499596,0.231455,0.518960,-0.462570,-0.547503,0.598786,-0.324454,-0.363501,-0.983386,-0.896921,-0.741135,1.005857,1.288262,-0.510181,0.540535,0.576727,0.518182,-0.587901
-0.325221,1.070752,0.365039,-0.119538,1.019626,0.161983,-0.271949,-0.641560,1.764820,0.693798,-0.785759,-0.410458,-0.421292,-0.709403,0.629426,-0.450464,0.850971,0.621603,-0.440111,-0.537003,0.412153,-0.798036,-0.372705,-0.998651,0.083533,-0.812060,-0.881420,-0.955091,0.870719,0.735695,0.856783,-0.600305,-0.730831,0.944032,1.553897,1.336481,-1.702780,0.599168,-0.582786,-0.902077,-0.746253,-0.578566,-0.408264,-0.559179,0.404935,1.321871,-0.564853,0.570469,0.576807,-0.515434,-0.785427,0.681687,-0.430877,-0.607373,-1.318870,-0.917879,-0.798697,0.980608,1.405363,-0.601105,0.623248,0.597844,0.517455,-0.398038
0.506433,-0.387684,-0.572924,-0.207039,-0.187608,-0.207450,0.201929,0.658137,-0.291928,-0.157063,1.252709,0.061554,0.567244,1.008348,-0.146125,-0.161637,-0.951772,-0.606177,0.605611,0.081336,-1.610031,0.971124,-0.010994,0.134531,0.069785,0.805211,0.810799,1.346783,-0.313301,-1.344196,-1.156169,0.112203,1.103409,-0.313374,-0.245727,-0.213267,0.342156,-0.160027,0.575881,0.341869,0.279531,0.335751,0.480536,-0.199575,0.029647,-1.031796,1.427005,-0.880583,-0.766450,1.304557,0.742698,-0.939363,-0.141724,1.253522,0.383232,0.142520,1.146923,-0.500930,-0.446934,-0.377557,-0.149540,-0.213274,0.026610,-0.028131
-0.127775,-0.058441,-0.284346,0.126367,0.754569,0.357167,-0.641488,0.025931,1.277925,0.815956,0.338841,-0.256036,-0.925639,0.328614,-0.123395,1.043593,-0.291154,0.987794,-0.418616,-1.026438,-0.173688,0.030328,-0.972994,-1.318781,0.273971,0.793385,0.423710,0.180514,0.655289,-0.123976,-0.129353,-0.456417,0.271521,0.862077,1.230349,0.623529,-0.502595,0.639964,0.184543,-0.729870,-0.814820,0.544700,0.070647,-0.608288,0.787672,-0.077457,0.092015,-0.438893,0.251274,-0.021879,-0.131439,0.224436,0.553866,0.229947,-0.699025,-0.533536,0.184485,1.177223,0.473112,0.343139,-0.529358,0.257785,0.762560,-0.571738
-0.395557,0.399063,0.089260,0.270741,0.868887,0.603387,-0.452173,-0.056121,1.344965,0.643741,-0.119773,-0.491250,-0.491655,-0.257609,0.369106,0.235163,0.404637,0.363333,-0.528639,-0.820618,0.244141,-0.189489,-0.572456,-1.206781,0.465117,-0.095583,-0.396527,-0.570781,0.820045,0.255653,-0.157306,-0.639343,-0.344921,0.494148,1.355979,0.939103,-1.217723,0.673795,-0.089499,-0.567628,-0.894909,-0.107536,-0.139031,-0.551150,-0.108210,0.175197,-0.238184,0.050721,-0.020996,-0.445405,-0.418331,0.385460,-0.048122,-0.296292,-1.128592,-0.971754,-0.241272,0.920256,1.188857,0.057068,0.107346,0.403346,0.700782,-0.524350
0.047631,0.033421,-0.003882,-0.219676,0.968495,0.700158,-0.075308,-0.402704,1.357514,0.388491,0.011031,-1.167981,-0.441194,-0.210003,0.161252,0.085518,0.132660,0.758127,0.434743,-0.490084,-0.053399,0.085903,-1.341586,-1.108974,-0.282104,0.167640,-0.218644,-0.208087,0.458184,0.108668,-0.293285,-0.274641,-0.103428,0.793116,1.644027,1.058169,-0.922860,0.395426,0.048638,-0.835623,-1.167909,-0.022613,0.084420,-0.778107,-0.123805,0.568134,-0.040905,-0.209683,-0.021534,0.019869,-0.093849,0.067263,-0.978057,0.079362,-1.285257,-0.680087,-0.273217,1.436687,1.008344,0.057668,0.249879,1.253533,0.460662,-0.737406
0.153722,-0.568005,-0.481865,-0.326790,-0.024166,0.030850,-0.013564,0.618793,-0.034273,0.077090,0.954114,-0.038780,0.107941,1.202180,-0.531391,0.436151,-0.903945,-0.701238,0.067204,-0.121438,-1.369582,0.990503,-0.179262,-0.147892,0.047947,1.108811,0.808843,1.037313,0.388644,-1.149266,-1.187762,-0.195237,0.892215,-0.183115,-0.188089,-0.019551,0.051694,-0.270529,0.348265,0.046414,0.030027,0.181085,0.803085,0.173057,-0.012268,-1.187682,1.318939,-0.423394,-0.882916,1.033558,0.704712,-0.751230,0.130294,1.041386,-0.201781,-0.237448,1.204518,-0.280898,-0.058770,0.367195,-0.489879,-0.269673,0.161968,0.040183
-0.199490,0.977078,-0.075228,0.162106,1.325925,0.240156,-0.464456,-0.195320,1.364956,0.635397,-0.030272,-0.811916,0.149985,-0.429316,1.091271,-0.126189,0.191358,0.237411,-0.005662,-0.877426,0.351423,-0.338749,-0.981685,-0.993467,0.595128,-0.108340,-0.209134,-0.220779,0.639304,0.472968,-0.035617,-0.449979,-0.293388,0.685762,1.487819,1.434078,-1.152822,1.240774,0.094919,-0.518620,-0.682262,-0.061632,-0.248662,-1.426149,0.713109,0.577709,-0.220553,0.047923,0.015629,-0.230763,-0.225392,0.196954,-0.252586,-0.234282,-1.110025,-1.046991,-0.362557,0.886847,1.047051,-0.196857,0.260325,0.372443,0.854121,-1.062083
-0.295104,1.122845,0.328487,0.126481,0.975774,0.260160,-0.388563,-0.428711,1.732717,0.662078,-0.694530,-0.464351,-0.133799,-0.646201,0.657976,-0.282690,0.775019,0.660197,-0.256767,-0.684270,0.332319,-0.629972,-0.746310,-1.115053,0.467990,-0.700916,-0.397928,-0.812521,0.802842,0.506323,0.722199,-0.698512,-0.564007,1.016990,1.523817,1.317954,-1.626441,0.976156,-0.492056,-0.641667,-0.818565,-0.556453,-0.457754,-0.840867,0.513611,1.180863,-0.517892,0.490469,0.416503,-0.500731,-0.650459,0.581327,-0.336390,-0.657666,-1.365800,-0.976831,-0.749469,0.894104,1.317097,-0.638754,0.610864,0.473420,0.537597,-0.853427
0.115638,0.208921,-0.580731,0.647445,0.917834,0.203872,-0.770984,0.464646,1.167281,0.705310,0.187389,-0.620252,-0.352052,0.146386,0.116775,0.514567,-0.350274,0.464654,0.077036,-0.780614,-0.260704,0.328841,-1.061072,-1.150906,0.540460,0.752232,0.510753,0.180713,0.404351,-0.315921,-0.207484,-0.796117,0.303087,0.807848,0.938833,0.856186,-0.929082,0.500583,0.041924,-0.449917,-0.802444,0.484100,-0.207725,-1.063518,0.796284,-0.009714,0.253350,-0.454308,-0.449144,0.386922,0.153238,-0.231490,-0.065438,0.255831,-0.794068,-0.763156,0.214641,0.797321,0.756143,0.448908,-0.107767,0.253652,0.700917,-1.055849
0.080311,0.624436,0.146318,-0.190590,0.817559,-0.064884,-0.138807,-0.317143,1.474362,0.451288,-0.880210,-0.455651,-1.031690,-0.654885,0.224408,0.452305,0.633951,-0.090021,-1.134454,-1.381627,0.706965,-0.582870,-0.550234,-1.136504,1.173753,-0.734534,-0.570171,-0.634163,0.305321,0.616972,1.266819,-0.713208,-0.429126,1.414894,1.144426,1.069885,-1.456032,1.966394,-0.154437,-0.976188,-0.064754,-0.043579,-0.243742,-0.303725,0.145604,0.490645,-0.628819,0.811758,0.685089,-0.570016,-0.462649,0.815171,0.633973,-0.621542,-1.606238,-1.045562,-0.805016,1.175619,1.343346,-0.844338,0.247244,0.467872,1.210845,-0.417852
-0.158625,-0.547328,-0.427132,0.199464,-0.029593,0.202458,-0.071130,0.382810,0.137188,0.150321,0.746538,0.018520,-0.095045,1.045128,-0.617737,0.298697,-0.784873,0.017180,0.063593,-0.071354,-1.067279,0.918198,-0.098246,-0.202492,-0.063894,0.881134,0.876044,0.781245,0.712049,-0.802727,-0.930416,-0.290069,0.829727,0.029352,0.131936,0.039250,-0.084712,-0.041615,0.637507,-0.220698,-0.338631,0.354142,0.417708,0.094368,0.013635,-0.920289,1.077501,-0.424080,-0.640967,0.841091,0.920846,-0.395024,0.334270,1.099081,-0.135097,-0.257921,1.165262,0.056413,0.117724,0.562550,-0.893742,-0.195331,-0.274661,0.221903
0.162640,0.328129,-0.415151,0.316248,1.166427,0.327853,-0.462704,0.382972,0.974087,0.613460,0.285534,-0.730017,-0.516391,0.090696,0.291493,0.751794,-0.313069,0.657138,-0.052637,-0.920609,-0.123617,0.192800,-1.317559,-1.078664,0.680723,0.229741,0.494884,0.276871,0.245735,0.018610,-0.127496,-0.530246,0.370222,0.920763,1.193222,1.002744,-0.632047,1.158889,0.244486,-0.672925,-0.648494,0.236578,-0.071957,-1.037454,0.546472,0.012828,0.204742,0.021741,-0.286641,0.322996,0.217499,-0.145620,-0.098113,0.129891,-0.881263,-0.764631,0.039904,0.870841,0.725974,0.297051,-0.205127,0.049152,0.834385,-0.707867
-0.130972,0.105248,-1.166319,0.722933,0.257933,-0.124054,-0.536876,1.154525,0.232790,0.666388,0.503309,-0.268362,0.147403,0.455343,-0.059198,0.374912,-0.641301,0.210374,-0.290283,-0.259248,-1.067209,0.161264,0.046771,-0.401476,0.389761,0.590989,0.666649,0.714753,0.255441,-1.052035,-0.177192,-0.597593,0.745091,0.860781,0.261148,0.469763,-0.513779,0.656779,0.533686,-0.152190,-0.177744,1.102165,0.174654,-0.462965,0.515033,-0.357298,0.650732,-0.888073,-0.873451,1.034950,0.379269,-0.247601,1.207776,0.993857,-0.578560,-0.719659,0.838299,0.288070,0.437236,0.248904,-0.787324,-0.669030,0.381734,-0.671505
0.204255,-0.203650,-0.149909,-0.119963,1.029294,0.731243,-0.135595,-0.236652,1.457657,0.470814,0.080368,-1.138412,-0.676231,-0.066488,-0.017508,0.251399,0.070757,0.791450,0.347380,-0.736097,-0.063410,0.124613,-1.192605,-1.141743,-0.290931,0.356958,-0.245207,-0.286627,0.740479,0.025469,-0.401747,-0.377019,-0.191500,0.666544,1.596014,0.883625,-1.044000,0.091307,-0.068173,-0.796692,-1.310399,-0.058307,-0.168864,-0.769583,-0.160685,0.525209,0.012846,-0.410278,-0.031970,-0.055998,-0.161947,0.118659,-0.831920,0.065063,-1.278636,-0.581415,-0.143079,1.180600,1.133483,0.150007,0.264696,1.342081,0.241656,-0.408291
0.034425,-0.703330,-0.200832,-0.195038,-0.242289,-0.115295,0.154147,0.284247,-0.234441,-0.046259,0.741047,0.350681,-0.087708,1.021514,-0.383944,0.089089,-0.932448,-0.107589,-0.078727,0.065311,-1.040165,0.967319,-0.017850,-0.056398,-0.207625,0.738837,0.740235,1.058348,-0.037058,-0.974214,-0.804135,-0.075654,1.074252,-0.113548,-0.243070,-0.157791,0.086171,-0.217744,0.347545,0.056089,0.099913,0.359605,0.563534,0.326816,-0.108526,-1.329214,1.075268,-0.305008,-0.460008,0.902945,1.024270,-0.261180,0.115821,1.113770,0.204401,-0.038981,1.442663,-0.004241,-0.146468,0.659280,-0.783361,-0.326244,-0.185324,0.307981
0.152098,-0.202366,-0.305325,0.327840,0.738697,0.234790,-0.222536,-0.451745,0.841829,0.124959,0.608405,-1.120286,-0.612272,0.138016,0.630185,0.528157,-0.230229,0.463694,0.030823,-0.976811,-0.138025,0.219913,-1.479729,-0.987017,0.631520,0.479245,0.437303,0.311008,1.290523,-0.208083,-0.502877,-0.782337,-0.142118,0.905469,1.329974,0.903448,-0.961954,0.942524,0.673190,-0.533020,-0.950069,0.113441,0.000873,-1.085177,0.287158,0.029428,0.125953,-0.133899,-0.406334,0.165733,0.017117,-0.120760,-0.286390,0.059736,-1.257101,-0.746596,0.145103,0.504706,0.841324,0.291423,0.021529,0.500092,1.255262,-0.874742
0.271396,-0.417989,-0.489073,0.032744,-0.083335,-0.163001,0.106072,0.434291,-0.150900,0.086312,0.814802,0.075761,0.131182,0.912632,-0.286627,0.017481,-0.935648,-0.134393,0.216994,0.168093,-1.247088,0.842335,0.010051,0.084066,-0.003173,0.649050,0.897059,1.181052,0.142088,-0.974553,-0.798991,0.014682,1.018711,-0.123413,-0.102036,-0.192747,0.137352,-0.009505,0.570554,0.065639,0.089214,0.635773,0.490654,-0.021175,0.083375,-1.047599,1.151948,-0.580567,-0.531406,1.057526,0.818846,-0.547885,0.153929,1.122413,0.224035,0.064798,1.230317,-0.282164,0.000862,0.221542,-0.665960,-0.313160,-0.242970,0.127953
-0.336532,-0.022737,0.035808,0.101391,0.601832,0.474830,-0.731532,0.118293,0.998955,0.571461,0.274034,-0.604831,-0.338736,0.041440,-0.001384,0.941774,-0.151279,0.232436,-0.223837,-0.864387,-0.461598,0.171802,-1.425777,-1.351444,0.396928,0.170792,0.317439,0.270454,0.421429,-0.647499,-0.531403,-0.658320,0.406450,0.845373,1.102673,0.995420,-0.893929,0.543659,0.179841,-0.388195,-0.290330,-0.183533,0.388221,-0.857165,0.533217,0.055418,0.152415,-0.329649,-0.712684,0.122888,0.092229,-0.149231,-0.082387,0.137900,-1.354516,-0.940025,0.088011,1.350533,0.415239,0.303345,0.015369,0.462556,0.756341,-1.241279
